"","AAPL","BAC","BLK","CME","CMG","CRM","DXC","EA","FB","GD","GOOG","GOOGL","GS","HPE","IBM","INTC","JPM","KO","MCD","MSFT","NDAQ","NFLX","NOC","NVDA","QCOM"
"AAPL",1,0.439505835608334,0.551464503064884,0.0519808756990859,0.208959192131618,0.435953669649798,0.317908844356623,0.311708111153498,0.482245724270927,0.353301388579127,0.562149560188033,0.560367442312915,0.484421405375649,0.511366262764448,0.464621104013769,0.557786528355489,0.460482189919963,0.162658653416794,0.143842055031768,0.627821598076321,0.375104413729334,0.387653720896395,0.195262682113757,0.592289706640103,0.404532048268842
"BAC",0.439505835608334,1,0.727083679457644,0.0409419824966359,0.102587482363197,0.317546490280381,0.356476211419645,0.187879293553207,0.27508787041578,0.486411328737625,0.396651581440704,0.394914060923798,0.862142171003138,0.55707251110694,0.472774593280698,0.401490949230017,0.85851942474824,0.0894071184761578,0.0800012986686413,0.450779394155098,0.308279454936853,0.295054696959961,0.193892703637168,0.484332645024342,0.317383849262599
"BLK",0.551464503064884,0.727083679457644,1,0.177638504532189,0.203461201755858,0.492173580334414,0.448859143718731,0.250079067851684,0.376201882382626,0.581205834663266,0.482184714571318,0.485202328440323,0.691163525781129,0.573543909847915,0.548611936732606,0.505093322983117,0.741511953592919,0.222435763698066,0.2175671209267,0.591040293796751,0.479807672342105,0.378799534716044,0.260957309499262,0.551143519832545,0.449555032697995
"CME",0.0519808756990859,0.0409419824966359,0.177638504532189,1,0.184524151346445,0.187259247282019,-0.0960519962393672,0.0820200928597337,0.0727323532871943,0.195428509858861,0.112180503310977,0.119118180137738,0.0629515067642793,-0.0213316223146366,0.117097952392892,0.0570156036702354,0.0918713383684803,0.346892816098715,0.411328577464119,0.301444967960684,0.618412110786317,0.00533447388785045,0.269774057531358,0.0337225583229336,0.0339713630715353
"CMG",0.208959192131618,0.102587482363197,0.203461201755858,0.184524151346445,1,0.225009712359157,0.0780198776482559,0.204465556060616,0.164584660256616,0.250706086374278,0.116816116268304,0.126130436999585,0.0803288250476685,0.0949867394034352,0.183356764953673,0.152680459940786,0.0737655328565085,0.124926509667447,0.315624319195655,0.271203181975425,0.171990953691013,0.179095259976727,0.227320150912958,0.20587128873649,0.0480507969883123
"CRM",0.435953669649798,0.317546490280381,0.492173580334414,0.187259247282019,0.225009712359157,1,0.277285875883081,0.317532011335408,0.42710618628876,0.374941463361397,0.419655348318727,0.42389466862696,0.294861575080466,0.319608185074393,0.378203324863888,0.284733109594614,0.3169976625395,0.17155477643415,0.17485971140103,0.613966922903153,0.344257703692403,0.42811258673181,0.344069049615601,0.421618358344184,0.147639853140801
"DXC",0.317908844356623,0.356476211419645,0.448859143718731,-0.0960519962393672,0.0780198776482559,0.277285875883081,1,0.299863543258957,0.309498156296677,0.253103744381987,0.290356208001796,0.294392017469824,0.34908654703854,0.361759277288355,0.419379275952333,0.313037959258537,0.345812011644597,0.0669617717977161,-0.0475467814318181,0.330009420657266,0.138773925130047,0.259074047748621,0.0755969747884986,0.374209869424256,0.194181636784352
"EA",0.311708111153498,0.187879293553207,0.250079067851684,0.0820200928597337,0.204465556060616,0.317532011335408,0.299863543258957,1,0.270655283225062,0.170730702895897,0.297788422333234,0.297369150636962,0.19788545570908,0.215623248762224,0.249515047339347,0.238842453171792,0.167561971086289,0.0504058489275779,0.119326263666183,0.382923549451946,0.191211916160624,0.299629171204606,0.131860847978271,0.310403225983495,0.0788883880790224
"FB",0.482245724270927,0.27508787041578,0.376201882382626,0.0727323532871943,0.164584660256616,0.42710618628876,0.309498156296677,0.270655283225062,1,0.185020376046524,0.573164246600393,0.580923690639944,0.272547812984427,0.350676448368856,0.251986989169221,0.33874619119602,0.301706832940301,0.106645002551134,0.122701003060056,0.539004996408604,0.281981379407999,0.416543488704976,0.115102924146855,0.438835538277802,0.201478186646699
"GD",0.353301388579127,0.486411328737625,0.581205834663266,0.195428509858861,0.250706086374278,0.374941463361397,0.253103744381987,0.170730702895897,0.185020376046524,1,0.326893465010503,0.332008840526673,0.492283232334522,0.40468870194644,0.449010217772403,0.312061912518464,0.528325742982034,0.184123144346245,0.232546906030901,0.440075385973752,0.366604823935234,0.247899770496358,0.611713871206425,0.382355843857546,0.31735056502824
